#Frame,Sentiment Label,Sentiment Score
265,Sad,0.40396422
266,Anger,0.3340449
267,Anger,0.31179327
268,Anger,0.40386596
269,Happy,0.35372034
270,Anger,0.41554484
271,Sad,0.5745107
272,Sad,0.56656975
273,Anger,0.35455525
274,Sad,0.649841
275,Sad,0.58460146
276,Sad,0.4035916
277,Sad,0.42859167
278,Sad,0.56744736
279,Sad,0.61205155
280,Sad,0.66294223
281,Sad,0.54534954
282,Sad,0.58069366
283,Sad,0.52013105
284,Anger,0.39898902
285,Sad,0.5996671
286,Anger,0.32223797
287,Sad,0.64351195
288,Sad,0.53959596
289,Sad,0.62123704
290,Sad,0.57376975
291,Sad,0.5960251
292,Sad,0.5065301
293,Sad,0.46680576
294,Anger,0.40551996
295,Sad,0.41702175
296,Sad,0.40275618
297,Anger,0.40627927
298,Anger,0.28619894
299,Anger,0.2891975
300,Sad,0.38651365
301,Anger,0.37006745
302,Anger,0.3110339
303,Sad,0.4014728
304,Sad,0.35078564
305,Anger,0.40810686
306,Anger,0.35417274
307,Anger,0.5354602
308,Anger,0.35907045
309,Sad,0.64161295
310,Sad,0.530773
311,Sad,0.64872277
312,Sad,0.4736782
313,Sad,0.5837429
314,Sad,0.7243003
315,Anger,0.5569977
316,Sad,0.70608085
317,Sad,0.6155435
318,Sad,0.65578717
319,Sad,0.5694324
320,Sad,0.62385494
321,Sad,0.7599466
322,Sad,0.77447844
323,Sad,0.6795156
324,Sad,0.65279114
325,Sad,0.57214594
326,Sad,0.48044688
327,Sad,0.58062124
328,Sad,0.65950906
329,Sad,0.6584073
330,Sad,0.6490344
331,Sad,0.59155506
332,Sad,0.66546834
333,Sad,0.8187486
334,Sad,0.5629582
335,Sad,0.42733356
336,Sad,0.6163232
337,Sad,0.6266089
338,Sad,0.62470937
339,Sad,0.7762016
340,Sad,0.5734189
341,Sad,0.7020173
342,Sad,0.73936677
343,Sad,0.5663374
344,Sad,0.8150618
345,Sad,0.83873045
346,Sad,0.7631713
347,Sad,0.84928524
348,Sad,0.8865184
349,Sad,0.7749015
350,Sad,0.74534243
351,Sad,0.67448753
352,Sad,0.8119041
353,Neutral,0.44449973
354,Sad,0.5002544
355,Sad,0.74952525
356,Sad,0.57073724
357,Sad,0.5884191
358,Sad,0.43019792
359,Sad,0.4844463
360,Sad,0.6179273
361,Sad,0.5691772
362,Sad,0.57934856
363,Sad,0.6167165
364,Sad,0.56750315
365,Happy,0.40181276
366,Happy,0.36739373
367,Sad,0.7541591
368,Sad,0.6645459
369,Sad,0.82904786
370,Sad,0.7619568
371,Sad,0.86841416
372,Sad,0.8586825
373,Sad,0.87191266
374,Sad,0.791667
375,Sad,0.78397113
376,Sad,0.81845254
377,Sad,0.8226928
378,Sad,0.74303406
379,Sad,0.8345029
380,Sad,0.82836884
381,Sad,0.76681966
382,Sad,0.7864595
383,Sad,0.7196381
384,Sad,0.7208708
385,Sad,0.6536056
386,Sad,0.76622754
387,Sad,0.7748283
388,Sad,0.79495347
389,Sad,0.71528673
390,Sad,0.77972096
391,Sad,0.84257066
392,Sad,0.7912182
393,Sad,0.7805324
394,Sad,0.7745023
395,Happy,0.438188
396,Sad,0.79264903
397,Sad,0.7336399
398,Sad,0.8009373
399,Sad,0.49117523
400,Sad,0.6778858
401,Sad,0.75939196
402,Sad,0.66510683
403,Sad,0.68904155
404,Sad,0.707951
405,Sad,0.7148146
406,Sad,0.71637964
407,Sad,0.6906055
408,Sad,0.798556
409,Happy,0.44798878
410,Happy,0.51655376
411,Sad,0.74695265
412,Sad,0.7927407
413,Sad,0.8979965
414,Sad,0.8793206
415,Sad,0.8637902
416,Sad,0.8832901
417,Sad,0.89000666
418,Sad,0.871221
419,Sad,0.8667358
420,Sad,0.90255785
421,Sad,0.865727
422,Sad,0.81071675
423,Sad,0.8531785
424,Sad,0.73378867
425,Sad,0.61756897
426,Sad,0.89590514
427,Sad,0.74648726
428,Sad,0.7604513
429,Sad,0.8486869
430,Sad,0.8991263
431,Sad,0.83642113
432,Happy,0.6802655
433,Sad,0.84037614
434,Sad,0.90178597
435,Sad,0.8933123
436,Sad,0.68289775
437,Sad,0.6582869
438,Sad,0.5986693
439,Sad,0.8045267
440,Sad,0.8106046
441,Sad,0.7250888
442,Sad,0.7440365
443,Sad,0.66232955
444,Sad,0.52712023
445,Neutral,0.38813114
446,Sad,0.41654655
447,Anger,0.40849102
448,Anger,0.46681285
449,Anger,0.46152696
450,Anger,0.4577936
451,Anger,0.47806683
452,Sad,0.41463754
453,Sad,0.40959173
454,Sad,0.66395015
455,Sad,0.4493657
456,Sad,0.36612695
457,Sad,0.6206138
458,Anger,0.44900492
459,Anger,0.4270136
460,Neutral,0.34961295
461,Anger,0.34232438
462,Anger,0.3632893
463,Anger,0.43890873
464,Neutral,0.31233856
465,Sad,0.27948347
466,Neutral,0.26716903
467,Sad,0.31582323
468,Anger,0.3851311
469,Anger,0.43942332
470,Anger,0.37769988
471,Anger,0.46356615
472,Anger,0.42575425
473,Anger,0.32589006
474,Sad,0.37241223
475,Sad,0.36779726
476,Anger,0.43251324
477,Anger,0.5576662
478,Anger,0.47337425
479,Anger,0.5240026
480,Anger,0.53190017
481,Anger,0.6299623
482,Anger,0.59170395
483,Anger,0.62558746
484,Anger,0.5797441
485,Anger,0.53127706
486,Anger,0.6160633
487,Anger,0.52774066
488,Anger,0.5427217
489,Anger,0.5377471
490,Anger,0.55267406
491,Anger,0.56207126
492,Anger,0.47553906
493,Anger,0.46626827
494,Anger,0.48618376
495,Anger,0.43060234
496,Anger,0.39757213
497,Anger,0.43584064
498,Anger,0.44988713
499,Anger,0.43592158
500,Anger,0.51583195
501,Anger,0.35927382
502,Anger,0.44886672
503,Anger,0.5096726
504,Anger,0.40824983
505,Anger,0.41936916
506,Anger,0.49623892
507,Neutral,0.35024974
508,Anger,0.3773244
509,Anger,0.4059189
510,Neutral,0.33558527
511,Neutral,0.3302067
512,Anger,0.3779756
513,Anger,0.41804025
514,Anger,0.39791155
515,Anger,0.3900919
516,Anger,0.40992826
517,Anger,0.43147093
518,Neutral,0.45456827
519,Neutral,0.36072358
520,Neutral,0.31905213
521,Neutral,0.36496952
522,Neutral,0.3631132
523,Neutral,0.3858684
524,Sad,0.36234474
525,Sad,0.36070317
526,Anger,0.35630217
527,Anger,0.3054091
528,Neutral,0.35919124
529,Anger,0.45640495
530,Anger,0.46539795
531,Anger,0.43060645
532,Anger,0.43159205
533,Anger,0.48919082
534,Anger,0.33209437
535,Anger,0.3368952
536,Anger,0.3817867
537,Anger,0.43363085
538,Sad,0.39690802
539,Sad,0.39657524
540,Anger,0.49308068
541,Anger,0.39329046
542,Anger,0.5917958
543,Anger,0.53692037
544,Anger,0.5699277
545,Anger,0.5923706
546,Anger,0.54785824
547,Anger,0.5254348
548,Anger,0.55763733
549,Anger,0.60904205
550,Anger,0.4672604
551,Anger,0.4242334
552,Anger,0.6518245
553,Anger,0.5577381
554,Anger,0.6224898
555,Anger,0.45436996
556,Anger,0.4577786
557,Anger,0.4763612
558,Anger,0.4868116
559,Anger,0.41432026
560,Anger,0.44773355
561,Anger,0.5356706
562,Anger,0.43025652
563,Anger,0.26960662
564,Anger,0.49637416
565,Anger,0.5207033
566,Anger,0.6000557
567,Anger,0.48428944
568,Anger,0.57571024
569,Anger,0.51402
570,Anger,0.6325871
571,Anger,0.49462426
572,Anger,0.5807569
573,Anger,0.4795771
574,Anger,0.51381594
575,Anger,0.6112073
576,Anger,0.60788995
577,Anger,0.63605344
578,Anger,0.60403454
579,Anger,0.5919795
580,Anger,0.56448305
581,Anger,0.6962652
582,Anger,0.5823094
583,Anger,0.48518112
584,Anger,0.5547307
585,Anger,0.6352801
586,Anger,0.40852833
587,Anger,0.3697389
588,Anger,0.45027414
589,Anger,0.46270502
590,Anger,0.32107416
591,Anger,0.5348633
592,Anger,0.40362883
593,Anger,0.4057952
594,Anger,0.42065468
595,Anger,0.38351107
596,Anger,0.38107213
597,Anger,0.47189555
598,Anger,0.42853594
599,Anger,0.32776123
600,Anger,0.49591267
601,Anger,0.54776
602,Anger,0.4112795
603,Anger,0.47300354
604,Anger,0.57933974
605,Anger,0.55912393
606,Anger,0.6133947
607,Anger,0.55188066
608,Anger,0.58691573
609,Anger,0.4868598
610,Anger,0.5014214
611,Sad,0.3522051
612,Anger,0.37302583
613,Anger,0.48170105
614,Surprise,0.28910783
615,Anger,0.35200942
616,Anger,0.46592703
617,Sad,0.39189595
618,Anger,0.3147829
619,Anger,0.39878958
620,Sad,0.25271195
621,Anger,0.45655778
622,Anger,0.37273738
623,Anger,0.3463644
624,Sad,0.34882867
625,Sad,0.5064338
626,Sad,0.47050408
627,Sad,0.51363915
628,Sad,0.53954977
629,Sad,0.5204875
630,Sad,0.68596673
631,Sad,0.7051261
632,Sad,0.6851743
633,Sad,0.79422784
634,Sad,0.80137074
635,Sad,0.71891093
636,Sad,0.6065534
637,Sad,0.92026174
638,Sad,0.8472964
639,Sad,0.77728045
640,Sad,0.8622595
641,Sad,0.83823395
642,Sad,0.8659105
643,Sad,0.93482196
644,Sad,0.92461354
645,Sad,0.82577336
646,Sad,0.8909665
647,Sad,0.88099897
648,Sad,0.8932653
649,Sad,0.91398096
650,Sad,0.84353757
651,Sad,0.8884578
652,Sad,0.8768242
653,Sad,0.81298083
654,Sad,0.81980574
655,Sad,0.8375134
656,Sad,0.9037306
657,Sad,0.74998736
658,Sad,0.69578034
659,Sad,0.8045279
660,Sad,0.5675273
661,Sad,0.7252079
662,Sad,0.65732604
663,Sad,0.7098086
664,Sad,0.68717545
665,Sad,0.6852383
666,Sad,0.7801555
667,Sad,0.71577126
668,Sad,0.68028575
669,Sad,0.7136303
670,Sad,0.824488
671,Sad,0.8473722
672,Sad,0.7166206
673,Sad,0.4826889
674,Sad,0.4688163
675,Sad,0.5982521
676,Sad,0.69960195
677,Sad,0.589213
678,Sad,0.70489204
679,Sad,0.52698475
680,Sad,0.8309887
681,Sad,0.80251914
682,Sad,0.9051872
683,Sad,0.711846
684,Sad,0.82381654
685,Sad,0.80066353
686,Sad,0.86919904
687,Sad,0.8379642
688,Sad,0.536864
689,Sad,0.53497696
690,Sad,0.38546512
691,Sad,0.4953744
692,Sad,0.43568647
693,Sad,0.38843107
694,Sad,0.5182882
695,Sad,0.51847637
696,Sad,0.55854607
697,Sad,0.40470082
698,Sad,0.7407385
699,Sad,0.7749894
700,Sad,0.7828486
701,Sad,0.6592277
